Destination_Region;Country_Name;indicatorId;geoUnit;Year; Students_Outbound
;Afghanistan;OE.5T8.40515;AFG;2013;564
;Afghanistan;OE.5T8.40515;AFG;2014;736
;Afghanistan;OE.5T8.40515;AFG;2015;802
;Afghanistan;OE.5T8.40515;AFG;2016;987
;Afghanistan;OE.5T8.40515;AFG;2017;885
;Afghanistan;OE.5T8.40515;AFG;2018;912
;Bangladesh;OE.5T8.40515;BGD;2000;1940
;Bangladesh;OE.5T8.40515;BGD;2001;2597
;Bangladesh;OE.5T8.40515;BGD;2002;3782
;Bangladesh;OE.5T8.40515;BGD;2003;6037
;Bangladesh;OE.5T8.40515;BGD;2004;5207
;Bangladesh;OE.5T8.40515;BGD;2005;5714
;Bangladesh;OE.5T8.40515;BGD;2006;5577
;Bangladesh;OE.5T8.40515;BGD;2007;5536
;Bangladesh;OE.5T8.40515;BGD;2008;5343
;Bangladesh;OE.5T8.40515;BGD;2009;5767
;Bangladesh;OE.5T8.40515;BGD;2010;6320
;Bangladesh;OE.5T8.40515;BGD;2011;6593
;Bangladesh;OE.5T8.40515;BGD;2012;7410
;Bangladesh;OE.5T8.40515;BGD;2013;21240
;Bangladesh;OE.5T8.40515;BGD;2014;34963
;Bangladesh;OE.5T8.40515;BGD;2015;36820
;Bangladesh;OE.5T8.40515;BGD;2016;41087
;Bangladesh;OE.5T8.40515;BGD;2017;36226
;Bangladesh;OE.5T8.40515;BGD;2018;26951
;India;OE.5T8.40515;IND;2000;5922
;India;OE.5T8.40515;IND;2001;8352
;India;OE.5T8.40515;IND;2002;12000
;India;OE.5T8.40515;IND;2003;15336
;India;OE.5T8.40515;IND;2004;19361
;India;OE.5T8.40515;IND;2005;23992
;India;OE.5T8.40515;IND;2006;26230
;India;OE.5T8.40515;IND;2007;29177
;India;OE.5T8.40515;IND;2008;33159
;India;OE.5T8.40515;IND;2009;35828
;India;OE.5T8.40515;IND;2010;31839
;India;OE.5T8.40515;IND;2011;27470
;India;OE.5T8.40515;IND;2012;25287
;India;OE.5T8.40515;IND;2013;31110
;India;OE.5T8.40515;IND;2014;45686
;India;OE.5T8.40515;IND;2015;63273
;India;OE.5T8.40515;IND;2016;73971
;India;OE.5T8.40515;IND;2017;78534
;India;OE.5T8.40515;IND;2018;100462
;Sri Lanka;OE.5T8.40515;LKA;2000;2121
;Sri Lanka;OE.5T8.40515;LKA;2001;2642
;Sri Lanka;OE.5T8.40515;LKA;2002;3476
;Sri Lanka;OE.5T8.40515;LKA;2003;3905
;Sri Lanka;OE.5T8.40515;LKA;2004;3126
;Sri Lanka;OE.5T8.40515;LKA;2005;3114
;Sri Lanka;OE.5T8.40515;LKA;2006;3547
;Sri Lanka;OE.5T8.40515;LKA;2007;4640
;Sri Lanka;OE.5T8.40515;LKA;2008;5757
;Sri Lanka;OE.5T8.40515;LKA;2009;6002
;Sri Lanka;OE.5T8.40515;LKA;2010;6254
;Sri Lanka;OE.5T8.40515;LKA;2011;5823
;Sri Lanka;OE.5T8.40515;LKA;2012;5988
;Sri Lanka;OE.5T8.40515;LKA;2013;6492
;Sri Lanka;OE.5T8.40515;LKA;2014;6998
;Sri Lanka;OE.5T8.40515;LKA;2015;8068
;Sri Lanka;OE.5T8.40515;LKA;2016;9880
;Sri Lanka;OE.5T8.40515;LKA;2017;11842
;Sri Lanka;OE.5T8.40515;LKA;2018;14871
;Nepal;OE.5T8.40515;NPL;2000;897
;Nepal;OE.5T8.40515;NPL;2001;1335
;Nepal;OE.5T8.40515;NPL;2002;2019
;Nepal;OE.5T8.40515;NPL;2003;2183
;Nepal;OE.5T8.40515;NPL;2004;2058
;Nepal;OE.5T8.40515;NPL;2005;2294
;Nepal;OE.5T8.40515;NPL;2006;2818
;Nepal;OE.5T8.40515;NPL;2007;4420
;Nepal;OE.5T8.40515;NPL;2008;5542
;Nepal;OE.5T8.40515;NPL;2009;6311
;Nepal;OE.5T8.40515;NPL;2010;7650
;Nepal;OE.5T8.40515;NPL;2011;9392
;Nepal;OE.5T8.40515;NPL;2012;9705
;Nepal;OE.5T8.40515;NPL;2013;10852
;Nepal;OE.5T8.40515;NPL;2014;13817
;Nepal;OE.5T8.40515;NPL;2015;18665
;Nepal;OE.5T8.40515;NPL;2016;25052
;Nepal;OE.5T8.40515;NPL;2017;35941
;Nepal;OE.5T8.40515;NPL;2018;50250
;Pakistan;OE.5T8.40515;PAK;2000;1338
;Pakistan;OE.5T8.40515;PAK;2001;1458
;Pakistan;OE.5T8.40515;PAK;2002;2233
;Pakistan;OE.5T8.40515;PAK;2003;2805
;Pakistan;OE.5T8.40515;PAK;2004;2438
;Pakistan;OE.5T8.40515;PAK;2005;2675
;Pakistan;OE.5T8.40515;PAK;2006;3265
;Pakistan;OE.5T8.40515;PAK;2007;3781
;Pakistan;OE.5T8.40515;PAK;2008;4249
;Pakistan;OE.5T8.40515;PAK;2009;4874
;Pakistan;OE.5T8.40515;PAK;2010;5464
;Pakistan;OE.5T8.40515;PAK;2011;5770
;Pakistan;OE.5T8.40515;PAK;2012;6987
;Pakistan;OE.5T8.40515;PAK;2013;9040
;Pakistan;OE.5T8.40515;PAK;2014;11679
;Pakistan;OE.5T8.40515;PAK;2015;14022
;Pakistan;OE.5T8.40515;PAK;2016;16730
;Pakistan;OE.5T8.40515;PAK;2017;16401
;Pakistan;OE.5T8.40515;PAK;2018;18079
;Afghanistan;OE.5T8.40525;AFG;2012;951
;Afghanistan;OE.5T8.40525;AFG;2013;1415
;Afghanistan;OE.5T8.40525;AFG;2014;1626
;Afghanistan;OE.5T8.40525;AFG;2015;1736
;Afghanistan;OE.5T8.40525;AFG;2016;1916
;Afghanistan;OE.5T8.40525;AFG;2017;1946
;Afghanistan;OE.5T8.40525;AFG;2018;1944
;Afghanistan;OE.5T8.40525;AFG;2019;1726
;Afghanistan;OE.5T8.40525;AFG;2020;1753
;Afghanistan;OE.5T8.40525;AFG;2021;1954
;Afghanistan;OE.5T8.40525;AFG;2022;1917
;Afghanistan;OE.5T8.40525;AFG;2023;1794
;Bangladesh;OE.5T8.40525;BGD;2012;1130
;Bangladesh;OE.5T8.40525;BGD;2013;1424
;Bangladesh;OE.5T8.40525;BGD;2014;1579
;Bangladesh;OE.5T8.40525;BGD;2015;1691
;Bangladesh;OE.5T8.40525;BGD;2016;1767
;Bangladesh;OE.5T8.40525;BGD;2017;1807
;Bangladesh;OE.5T8.40525;BGD;2018;1853
;Bangladesh;OE.5T8.40525;BGD;2019;2119
;Bangladesh;OE.5T8.40525;BGD;2020;2309
;Bangladesh;OE.5T8.40525;BGD;2021;2467
;Bangladesh;OE.5T8.40525;BGD;2022;2436
;Bangladesh;OE.5T8.40525;BGD;2023;2730
;India;OE.5T8.40525;IND;2012;9483
;India;OE.5T8.40525;IND;2013;10350
;India;OE.5T8.40525;IND;2014;10752
;India;OE.5T8.40525;IND;2015;11011
;India;OE.5T8.40525;IND;2016;11296
;India;OE.5T8.40525;IND;2017;11040
;India;OE.5T8.40525;IND;2018;11243
;India;OE.5T8.40525;IND;2019;10564
;India;OE.5T8.40525;IND;2020;10812
;India;OE.5T8.40525;IND;2021;10948
;India;OE.5T8.40525;IND;2022;11062
;India;OE.5T8.40525;IND;2023;11215
;Sri Lanka;OE.5T8.40525;LKA;2012;446
;Sri Lanka;OE.5T8.40525;LKA;2013;568
;Sri Lanka;OE.5T8.40525;LKA;2014;608
;Sri Lanka;OE.5T8.40525;LKA;2015;608
;Sri Lanka;OE.5T8.40525;LKA;2016;617
;Sri Lanka;OE.5T8.40525;LKA;2017;595
;Sri Lanka;OE.5T8.40525;LKA;2018;592
;Sri Lanka;OE.5T8.40525;LKA;2019;539
;Sri Lanka;OE.5T8.40525;LKA;2020;567
;Sri Lanka;OE.5T8.40525;LKA;2021;627
;Sri Lanka;OE.5T8.40525;LKA;2022;643
;Sri Lanka;OE.5T8.40525;LKA;2023;623
;Nepal;OE.5T8.40525;NPL;2012;239
;Nepal;OE.5T8.40525;NPL;2013;378
;Nepal;OE.5T8.40525;NPL;2014;425
;Nepal;OE.5T8.40525;NPL;2015;438
;Nepal;OE.5T8.40525;NPL;2016;479
;Nepal;OE.5T8.40525;NPL;2017;464
;Nepal;OE.5T8.40525;NPL;2018;241
;Nepal;OE.5T8.40525;NPL;2019;229
;Nepal;OE.5T8.40525;NPL;2020;241
;Nepal;OE.5T8.40525;NPL;2021;299
;Nepal;OE.5T8.40525;NPL;2022;328
;Nepal;OE.5T8.40525;NPL;2023;341
;Pakistan;OE.5T8.40525;PAK;2012;6275
;Pakistan;OE.5T8.40525;PAK;2013;7970
;Pakistan;OE.5T8.40525;PAK;2014;8701
;Pakistan;OE.5T8.40525;PAK;2015;8768
;Pakistan;OE.5T8.40525;PAK;2016;8963
;Pakistan;OE.5T8.40525;PAK;2017;8787
;Pakistan;OE.5T8.40525;PAK;2018;8653
;Pakistan;OE.5T8.40525;PAK;2019;6886
;Pakistan;OE.5T8.40525;PAK;2020;6865
;Pakistan;OE.5T8.40525;PAK;2021;6611
;Pakistan;OE.5T8.40525;PAK;2022;6635
;Pakistan;OE.5T8.40525;PAK;2023;6938
;Afghanistan;OE.5T8.40530;AFG;2000;449
;Afghanistan;OE.5T8.40530;AFG;2001;367
;Afghanistan;OE.5T8.40530;AFG;2002;346
;Afghanistan;OE.5T8.40530;AFG;2003;232
;Afghanistan;OE.5T8.40530;AFG;2004;222
;Afghanistan;OE.5T8.40530;AFG;2005;274
